model,calibration_method,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,brier_score_mean,brier_score_std
Logistic Regression,isotonic,0.8921875,0.03156578726693269,0.9368743991801661,0.020421969487447733,0.840625,0.04990224819584785,0.8857965477883333,0.03536518348985691,0.947076416015625,0.017558264108688694,0.08195035235323886,0.016984679085401806
Decision Tree,sigmoid,0.88828125,0.023696485762661094,0.9252916389852611,0.029819557220869344,0.8453125,0.031926276158910236,0.8831898912788454,0.02498802551383733,0.945745849609375,0.02086975544803473,0.0834735852261975,0.014655564783529014
Logistic Regression,sigmoid,0.88515625,0.02254146569727111,0.9081484407686633,0.024168590355553122,0.8578125,0.04602086398444731,0.8815483070435294,0.025241043769979682,0.947564697265625,0.016556670697045296,0.08355948171908649,0.015309986533395815
Decision Tree,isotonic,0.89140625,0.014719877876106851,0.9395165718717143,0.021918725024025348,0.8375,0.036393170933912866,0.884975319286944,0.017406089786615654,0.94541015625,0.018720505782526466,0.08472500380417695,0.013481795133819405
