model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
Logistic Regression,0.8875,0.01550736971974938,0.9096745618818268,0.015275512624860476,0.8609375,0.03472829807952011,0.8841331523157716,0.017730946001496446,0.947784423828125,0.014005021672005655
Decision Tree,0.8703125,0.011428702217443588,0.9102133883036734,0.01470893158675421,0.821875,0.016682934768798924,0.8636752499232723,0.012373142854652798,0.90550537109375,0.01778437728399203
